Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,LCSC Part #,Datasheet
"C1,C7",2,10uF,,,,Capacitor_SMD:C_0805_2012Metric,,~
"C2,C3,C4,C5,C6,C9,C20,C21,C22,C23,C24,C28",12,100nF,,,,Capacitor_SMD:C_0805_2012Metric,,~
C8,1,22uF,,,,Capacitor_SMD:C_0805_2012Metric,,~
"C10,C11,C29,C30",4,10uF,,,,Capacitor_SMD:C_1206_3216Metric,,CL31A106KBHNNNE
"C12,C14,C31,C35",4,0.1uF,,,,Capacitor_SMD:C_0805_2012Metric,,"FH 0805F104M500NT,~"
"C13,C34",2,47nF,,,,Capacitor_SMD:C_0805_2012Metric,,~
"C15,C16,C41,C42",4,10uF,,,,Capacitor_SMD:C_1210_3225Metric,,HRE CGA1210X6S106K350QT
"C17,C40",2,150pF,,,,Capacitor_SMD:C_0805_2012Metric,,~
"C25,C26",2,15pF,,,,Capacitor_SMD:C_0805_2012Metric,,~
C27,1,100nF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,~
D1,1,BLUE,,,,LED_SMD:LED_0805_2012Metric,,~
"D2,D5,D6",3,B540C-13-F,,,,B540C_13_F:DIOM6959X245N,,
"D3,D8",2,RED,,,,LED_SMD:LED_0805_2012Metric,,~
"F1,F3",2,C1F-5,,,,C1F_5:FUSC3215X83N,,
"H1,H2,H3,H4",4,MountingHole,,Excluded from BOM,,MountingHole:MountingHole_3.2mm_M3,,~
"J1,J3",2,Battery 1,,,,1724480002:MOLEX_1724480002,,1724480002
J2,1,Encoder,,,,S05B_PASK_2_LF__SN_:CONN_S05B-PASK-2_JST,,S05B-PASK-2LFSN
J8,1,USB,,,,KiCADv6:CON00317_5_MOL,,675031020
"J9,J10,J12",3,Cam 1,,,,S05B_PASK_2_LF__SN_:CONN_S05B-PASK-2_JST,,S05B-PASK-2LFSN
J11,1,Servo,,,,B3B_XH_A:JST_B3B-XH-A,,~
J13,1,SWD Header,,,,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,,~
J14,1,DM3CS-SF,,,,DM3CS_SF:HRS_DM3CS-SF,,
"L1,L3",2,3.3uH,,,,74438357033:WE-MAPI_4030,,FTC404030S3R3MGCA
LS2,1,CBT-09427-SMT,,,,CBT_09427_SMT_TR:CUI_CBT-09427-SMT,,
Q2,1,NPN,,,,FSB560A:SSOT3_3X1P5_ONS,,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs
"Q5,Q6,Q7",3,BSS816NWH6327XTSA1,,,,SOT65P210X100-3N,,https://www.infineon.com/dgdl/Infineon-BSS816NW-DS-v02_03-en.pdf?fileId=db3a304335113a6301351e704a2e1332
"R1,R3,R4,R5,R42",5,1k5,,,,Capacitor_SMD:C_0805_2012Metric,,~
R2,1,10k,,,,Capacitor_SMD:C_0805_2012Metric,,~
"R6,R36",2,169kR,,,,Capacitor_SMD:C_0805_2012Metric,,~
"R7,R37",2,36.1kR,,,,Capacitor_SMD:C_0805_2012Metric,,~
"R8,R38",2,52.3kR,,,,Capacitor_SMD:C_0805_2012Metric,,~
"R9,R40",2,49.9R,,,,Capacitor_SMD:C_0805_2012Metric,,~
"R10,R41",2,73.2kR,,,,Capacitor_SMD:C_0805_2012Metric,,~
"R11,R39",2,10kR,,,,Capacitor_SMD:C_0805_2012Metric,,~
"R13,R14",2,2.2kR,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,~
"R15,R33,R34,R35",4,10kR,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,~
"R16,R17,R32",3,10k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,~
R18,1,1kR,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,~
R19,1,470,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,~
"R20,R25,R26",3,100R,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,~
"R27,R28,R29",3,CSRN2512FKR500,,,,CSRN2512FKR500:RESC6331X70N,,
SW1,1,Boot Switch,,,,Button_Switch_SMD:SW_SPDT_PCM12,,~
SW2,1,System Reset,,,,Button_Switch_SMD:SW_SPDT_PCM12,,~
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP11,TP12,TP13",11,5016,,,,5016:KEYSTONE_5016,,
U1,1,AMS1117-3.3,,,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,http://www.advanced-monolithic.com/pdf/ds1117.pdf
U2,1,STM32F401RETx,,,,Package_QFP:LQFP-64_10x10mm_P0.5mm,,https://www.st.com/resource/en/datasheet/stm32f401re.pdf
U3,1,BMP581,,,,BMP581:QFN10_BMP581_BOS,,BMP581
U4,1,BNO085,,,,BNO085:IC_BNO085,,
"U5,U8",2,TPS56A37RPAR,,,,RPA0010A-MFG,,https://www.ti.com/lit/gpn/tps56a37
U7,1,MX25V4006EM1I-13G,,,,SOP8_150_MAC,,MX25V4006EM1I-13G
Y2,1,Crystal,,,,Crystal:Crystal_SMD_0603-2Pin_6.0x3.5mm_HandSoldering,,~
